Rafael Nadal,13030
Novak Djokovic,12260
David Ferrer,5800
Andy Murray,5790
Juan Martin del Potro,5255
Roger Federer,4205
Tomas Berdych,4180
Stan Wawrinka,3730
Richard Gasquet,3300
Jo-Wilfried Tsonga,3065
Milos Raonic,2860
Tommy Haas,2435
Nicolas Almagro,2290
John Isner,2150
Mikhail Youzhny,2145
Fabio Fognini,1930
Kei Nishikori,1915
Tommy Robredo,1810
Gilles Simon,1790
Kevin Anderson,1685
Jerzy Janowicz,1615
Philipp Kohlschreiber,1525
Grigor Dimitrov,1520
Ernests Gulbis,1393
Andreas Seppi,1360
