Rafael Nadal,12450
Roger Federer,9145
Novak Djokovic,6240
Andy Murray,5760
Robin Soderling,5580
Tomas Berdych,3955
David Ferrer,3735
Andy Roddick,3665
Fernando Verdasco,3240
Mikhail Youzhny,2920
Jurgen Melzer,2785
Gael Monfils,2560
Jo-Wilfried Tsonga,2345
Marin Cilic,2300
Nicolas Almagro,2160
Mardy Fish,1991
Ivan Ljubicic,1965
Sam Querrey,1860
John Isner,1850
Marcos Baghdatis,1785
Stan Wawrinka,1755
Nikolay Davydenko,1655
Michael Llodra,1575
Ernests Gulbis,1505
Albert Montanes,1495
