Rafael Nadal,9875
Roger Federer,7505
Andy Murray,6290
Alexander Zverev,4400
Marin Cilic,4155
Novak Djokovic,4125
Dominic Thiem,3925
Stan Wawrinka,3540
Grigor Dimitrov,3455
David Goffin,3055
Pablo Carreno Busta,2855
Milos Raonic,2690
Roberto Bautista Agut,2525
Kei Nishikori,2475
Kevin Anderson,2470
John Isner,2470
Sam Querrey,2445
Jo-Wilfried Tsonga,2420
Tomas Berdych,2195
Jack Sock,2175
Nick Kyrgios,2045
Gilles Muller,1875
Juan Martin del Potro,1865
Lucas Pouille,1825
Albert Ramos-Vinolas,1755
