Novak Djokovic,11360
Roger Federer,9775
Rafael Nadal,6835
Stan Wawrinka,5370
Kei Nishikori,5025
Andy Murray,4675
Tomas Berdych,4600
Milos Raonic,4440
Marin Cilic,4150
David Ferrer,4045
Grigor Dimitrov,3645
Jo-Wilfried Tsonga,2740
Ernests Gulbis,2455
Feliciano Lopez,2130
Roberto Bautista Agut,2110
Kevin Anderson,2080
Tommy Robredo,2015
Gael Monfils,1900
John Isner,1890
Fabio Fognini,1790
Gilles Simon,1730
David Goffin,1599
Alexandr Dolgopolov,1455
Philipp Kohlschreiber,1415
Julien Benneteau,1365
