Novak Djokovic,12920
Roger Federer,10265
Andy Murray,8000
Rafael Nadal,6690
David Ferrer,6505
Tomas Berdych,4680
Juan Martin del Potro,4480
Jo-Wilfried Tsonga,3490
Janko Tipsarevic,2990
Richard Gasquet,2515
Nicolas Almagro,2515
Juan Monaco,2430
Milos Raonic,2380
John Isner,2215
Marin Cilic,2210
Gilles Simon,2165
Stan Wawrinka,1900
Alexandr Dolgopolov,1855
Kei Nishikori,1830
Philipp Kohlschreiber,1770
Tommy Haas,1695
Sam Querrey,1650
Andreas Seppi,1560
Fernando Verdasco,1490
Mikhail Youzhny,1335
